player_id,player_name,age,height_cm,weight_kg,nationality,position,sprint_speed,stamina,strength,agility,jump_height_cm,injury_prone
1235,Player_1235,25,165,85,Germany,Midfielder,26.899999618530273,94.599998474121094,69.5,97.5,58,True
1236,Player_1236,19,170,66,France,Midfielder,29.600000381469727,60.5,63.900001525878906,46.200000762939453,57,False
1237,Player_1237,30,193,76,USA,Goalkeeper,26.5,62.200000762939453,42.400001525878906,86.099998474121094,40,False
1238,Player_1238,24,198,55,Germany,Goalkeeper,26.299999237060547,96.5,72.900001525878906,81.900001525878906,72,True
1239,Player_1239,26,179,55,India,Goalkeeper,26.5,53.400001525878906,48.200000762939453,32.900001525878906,62,False
1240,Player_1240,39,180,57,Spain,Midfielder,31.200000762939453,52.299999237060547,67.699996948242188,48.099998474121094,64,True
1241,Player_1241,39,180,75,Brazil,Goalkeeper,31.799999237060547,89.599998474121094,58.5,56.900001525878906,74,False
1242,Player_1242,28,177,67,France,Goalkeeper,33.099998474121094,70.699996948242188,55.700000762939453,31,99,False
1243,Player_1243,31,180,115,Germany,Goalkeeper,23.600000381469727,95.800003051757813,97.5,96.300003051757813,93,False
1244,Player_1244,21,178,67,Brazil,Defender,22.399999618530273,65,87.300003051757813,44.900001525878906,98,False
1245,Player_1245,30,163,87,Brazil,Defender,25.200000762939453,64.400001525878906,47.200000762939453,94.800003051757813,33,False
1246,Player_1246,19,172,60,Brazil,Goalkeeper,26.299999237060547,97.900001525878906,59,60.799999237060547,80,False
1247,Player_1247,22,177,79,Spain,Goalkeeper,30.5,77.699996948242188,82.199996948242188,38.900001525878906,91,True
1248,Player_1248,28,188,77,UK,Midfielder,31.399999618530273,80.699996948242188,89.400001525878906,60,56,True
1249,Player_1249,23,184,80,Germany,Forward,34.799999237060547,94.900001525878906,71.599998474121094,72.900001525878906,91,False
1250,Player_1250,35,172,58,Brazil,Goalkeeper,25.700000762939453,69,94,63.200000762939453,91,False
1251,Player_1251,38,186,89,UK,Midfielder,26,62.400001525878906,61.700000762939453,52.200000762939453,87,True
