player_id,team,contract_years,market_value_million,experience_level
1,TeamD,4,31.290000915527344,Intermediate
2,TeamC,2,67.330001831054688,Expert
3,TeamA,1,65.849998474121094,Intermediate
4,TeamA,4,53.25,Expert
5,TeamA,2,13.109999656677246,Beginner
6,TeamD,4,77.239997863769531,Expert
7,TeamC,2,52.610000610351563,Beginner
8,TeamA,1,37.759998321533203,Expert
9,TeamE,2,67.680000305175781,Intermediate
10,TeamB,3,93.05999755859375,Expert
11,TeamA,3,83.769996643066406,Expert
12,TeamC,3,13.710000038146973,Expert
13,TeamA,5,48.639999389648438,Beginner
14,TeamD,4,19.209999084472656,Intermediate
15,TeamD,4,36.049999237060547,Expert
16,TeamC,3,10.779999732971191,Intermediate
17,TeamB,2,59.700000762939453,Intermediate
18,TeamE,1,35.630001068115234,Expert
19,TeamB,4,59.259998321533203,Intermediate
20,TeamD,4,84.370002746582031,Expert
21,TeamA,2,76.30999755859375,Expert
22,TeamC,4,42.909999847412109,Expert
23,TeamA,5,18.549999237060547,Expert
24,TeamA,5,53.349998474121094,Beginner
25,TeamD,3,45.020000457763672,Expert
26,TeamD,4,93.400001525878906,Beginner
27,TeamE,1,97.139999389648438,Intermediate
28,TeamE,1,92.620002746582031,Expert
29,TeamD,3,10.880000114440918,Beginner
30,TeamB,3,77.089996337890625,Intermediate
31,TeamD,4,28.739999771118164,Beginner
32,TeamB,4,78.75,Expert
33,TeamC,5,57.610000610351563,Intermediate
34,TeamC,4,13.590000152587891,Intermediate
35,TeamB,2,79.830001831054688,Beginner
36,TeamC,4,51.619998931884766,Intermediate
37,TeamE,3,37.330001831054688,Expert
38,TeamE,3,18.700000762939453,Expert
39,TeamC,5,22.489999771118164,Expert
40,TeamA,3,65.010002136230469,Intermediate
41,TeamA,5,77.580001831054688,Beginner
42,TeamE,5,48.849998474121094,Intermediate
43,TeamA,3,10.5,Expert
44,TeamA,1,89.419998168945313,Beginner
45,TeamB,1,50.979999542236328,Beginner
46,TeamC,1,3.2699999809265137,Beginner
47,TeamE,2,20.100000381469727,Expert
48,TeamA,1,42.259998321533203,Expert
49,TeamD,2,82,Intermediate
50,TeamC,1,62.419998168945313,Intermediate
51,TeamB,4,6.2699999809265137,Intermediate
52,TeamB,4,69.05999755859375,Expert
53,TeamC,5,20.729999542236328,Expert
54,TeamA,1,40.799999237060547,Intermediate
55,TeamD,2,5.1999998092651367,Expert
56,TeamE,3,99.129997253417969,Expert
57,TeamB,4,70.069999694824219,Expert
58,TeamD,2,32.020000457763672,Expert
59,TeamD,1,33.659999847412109,Expert
60,TeamD,5,82.330001831054688,Expert
61,TeamA,3,57.709999084472656,Expert
62,TeamD,5,63.520000457763672,Intermediate
63,TeamC,1,43.110000610351563,Expert
64,TeamB,2,66.639999389648438,Expert
65,TeamE,3,90.55999755859375,Intermediate
66,TeamD,5,95.319999694824219,Beginner
67,TeamC,4,11.539999961853027,Expert
68,TeamB,2,5.4800000190734863,Beginner
69,TeamE,5,47.119998931884766,Expert
70,TeamC,1,54.450000762939453,Intermediate
71,TeamD,2,91.19000244140625,Intermediate
72,TeamD,5,22.870000839233398,Intermediate
73,TeamD,3,36.509998321533203,Intermediate
74,TeamC,5,52.240001678466797,Expert
75,TeamD,2,53.259998321533203,Expert
76,TeamE,1,1.809999942779541,Intermediate
77,TeamE,5,56.759998321533203,Intermediate
78,TeamE,1,69.150001525878906,Intermediate
79,TeamB,5,48.669998168945313,Expert
80,TeamE,4,17.399999618530273,Expert
81,TeamC,1,51.830001831054688,Intermediate
82,TeamC,1,40.259998321533203,Intermediate
83,TeamA,3,28.590000152587891,Intermediate
84,TeamE,5,7.5300002098083496,Expert
85,TeamD,1,72.959999084472656,Expert
86,TeamC,2,30.600000381469727,Beginner
87,TeamB,2,54.590000152587891,Beginner
88,TeamB,1,60.369998931884766,Beginner
89,TeamC,1,25.309999465942383,Intermediate
90,TeamD,1,39.299999237060547,Intermediate
91,TeamE,5,57.669998168945313,Expert
92,TeamE,4,6.559999942779541,Intermediate
93,TeamC,3,95.360000610351563,Expert
94,TeamD,1,78.25,Expert
95,TeamB,5,20.659999847412109,Beginner
96,TeamB,2,11.310000419616699,Expert
97,TeamA,4,22.5,Intermediate
98,TeamC,5,77.010002136230469,Expert
99,TeamA,5,9.1899995803833008,Intermediate
100,TeamE,3,31.739999771118164,Expert
101,TeamD,2,87.980003356933594,Intermediate
102,TeamA,3,67.769996643066406,Beginner
103,TeamE,3,91.230003356933594,Expert
104,TeamB,5,97.550003051757813,Expert
105,TeamB,1,17.340000152587891,Intermediate
106,TeamE,4,81.589996337890625,Beginner
107,TeamE,4,80.180000305175781,Beginner
108,TeamE,5,5.2899999618530273,Expert
109,TeamE,5,29.540000915527344,Intermediate
110,TeamE,1,25.590000152587891,Expert
111,TeamC,1,93.480003356933594,Intermediate
112,TeamB,5,67.139999389648438,Beginner
113,TeamB,2,24.969999313354492,Intermediate
114,TeamE,5,15.949999809265137,Intermediate
115,TeamA,3,37.319999694824219,Intermediate
116,TeamE,3,95.709999084472656,Beginner
117,TeamB,5,35.959999084472656,Intermediate
118,TeamD,1,94.44000244140625,Beginner
119,TeamC,2,73.779998779296875,Intermediate
120,TeamC,3,50.419998168945313,Expert
121,TeamC,1,20.219999313354492,Expert
122,TeamE,5,14.029999732971191,Beginner
123,TeamC,1,62.080001831054688,Expert
124,TeamA,5,21.469999313354492,Expert
125,TeamA,3,15.420000076293945,Expert
126,TeamC,4,18.950000762939453,Intermediate
127,TeamE,2,91.269996643066406,Beginner
128,TeamD,5,18.170000076293945,Intermediate
129,TeamC,5,72.589996337890625,Expert
130,TeamD,4,39.529998779296875,Expert
131,TeamA,5,4.690000057220459,Expert
132,TeamC,3,73.80999755859375,Expert
133,TeamD,1,95.19000244140625,Beginner
134,TeamD,2,81.069999694824219,Intermediate
135,TeamB,2,8.0200004577636719,Intermediate
136,TeamE,1,88.769996643066406,Expert
137,TeamD,3,49.729999542236328,Beginner
138,TeamE,3,77.489997863769531,Beginner
139,TeamE,3,89.05999755859375,Intermediate
140,TeamB,5,57.900001525878906,Beginner
141,TeamE,2,27.420000076293945,Intermediate
142,TeamB,2,50.009998321533203,Expert
143,TeamD,5,47.700000762939453,Beginner
144,TeamA,2,10.210000038146973,Beginner
145,TeamC,4,85.370002746582031,Expert
146,TeamE,3,56.520000457763672,Intermediate
147,TeamC,5,23.350000381469727,Expert
148,TeamC,5,33.400001525878906,Intermediate
149,TeamD,2,10.130000114440918,Expert
150,TeamB,4,85.550003051757813,Beginner
151,TeamD,1,67.839996337890625,Beginner
152,TeamB,5,50.549999237060547,Expert
153,TeamB,2,36.5,Intermediate
154,TeamC,1,20.079999923706055,Expert
155,TeamE,4,82.319999694824219,Expert
156,TeamE,4,38.840000152587891,Intermediate
157,TeamB,4,50.680000305175781,Intermediate
158,TeamE,5,13.409999847412109,Beginner
159,TeamB,3,59.970001220703125,Intermediate
160,TeamA,5,1.2000000476837158,Beginner
161,TeamE,3,53.840000152587891,Intermediate
162,TeamE,4,83.830001831054688,Intermediate
163,TeamB,5,14.689999580383301,Beginner
164,TeamD,5,19.030000686645508,Intermediate
165,TeamD,4,56.110000610351563,Beginner
166,TeamE,2,74.410003662109375,Beginner
167,TeamD,3,8.1400003433227539,Expert
168,TeamD,1,54.979999542236328,Expert
169,TeamB,1,4.8899998664855957,Expert
170,TeamD,4,42.240001678466797,Expert
171,TeamE,2,44.790000915527344,Expert
172,TeamA,5,46.560001373291016,Expert
173,TeamA,5,2.3399999141693115,Expert
174,TeamA,3,7.8499999046325684,Expert
175,TeamA,1,83.139999389648438,Beginner
176,TeamC,3,97.5,Intermediate
177,TeamB,3,26.739999771118164,Intermediate
178,TeamA,4,66.290000915527344,Intermediate
179,TeamD,1,6.4800000190734863,Beginner
180,TeamE,1,43.209999084472656,Intermediate
181,TeamC,3,32.659999847412109,Expert
182,TeamC,5,63.049999237060547,Beginner
183,TeamD,5,76.730003356933594,Intermediate
184,TeamD,5,18.770000457763672,Expert
185,TeamD,2,68.510002136230469,Intermediate
186,TeamD,3,93.230003356933594,Beginner
187,TeamA,5,78.459999084472656,Intermediate
188,TeamE,5,79.489997863769531,Beginner
189,TeamD,4,17.629999160766602,Expert
190,TeamC,1,85.349998474121094,Expert
191,TeamD,2,10.829999923706055,Beginner
192,TeamC,2,56.180000305175781,Expert
193,TeamE,1,29.590000152587891,Intermediate
194,TeamB,1,54.669998168945313,Intermediate
195,TeamB,1,98.959999084472656,Beginner
196,TeamB,4,83.139999389648438,Expert
197,TeamE,4,3.630000114440918,Intermediate
198,TeamD,5,85.610000610351563,Beginner
199,TeamC,4,82.660003662109375,Expert
200,TeamE,5,66.699996948242188,Beginner
201,TeamA,5,15.409999847412109,Expert
202,TeamC,4,59.259998321533203,Intermediate
203,TeamE,3,61.049999237060547,Intermediate
204,TeamD,1,2.6099998950958252,Expert
205,TeamB,5,24.510000228881836,Intermediate
206,TeamB,3,38.590000152587891,Expert
207,TeamE,3,83.610000610351563,Expert
208,TeamA,2,30.969999313354492,Beginner
209,TeamD,4,48.819999694824219,Intermediate
210,TeamB,1,51.75,Intermediate
211,TeamD,3,46,Beginner
212,TeamC,3,18.840000152587891,Expert
213,TeamD,1,7.6700000762939453,Beginner
214,TeamC,5,10.489999771118164,Intermediate
215,TeamB,1,52.75,Intermediate
216,TeamE,4,9.5699996948242188,Intermediate
217,TeamB,1,58.639999389648438,Intermediate
218,TeamE,1,72.239997863769531,Expert
219,TeamA,4,43.680000305175781,Expert
220,TeamB,1,6.2800002098083496,Intermediate
221,TeamE,2,15.720000267028809,Expert
222,TeamD,1,21.770000457763672,Intermediate
223,TeamC,4,9.7200002670288086,Beginner
224,TeamB,3,10.390000343322754,Expert
225,TeamC,4,67.089996337890625,Expert
226,TeamD,4,0.62999999523162842,Expert
227,TeamE,3,73.919998168945313,Expert
228,TeamA,2,7.059999942779541,Beginner
229,TeamE,2,20.469999313354492,Beginner
230,TeamC,2,1.9800000190734863,Expert
231,TeamC,5,68.489997863769531,Beginner
232,TeamE,1,97.839996337890625,Beginner
233,TeamB,3,61.610000610351563,Intermediate
234,TeamA,3,93.550003051757813,Expert
235,TeamB,1,19.959999084472656,Intermediate
236,TeamB,4,17.129999160766602,Intermediate
237,TeamB,2,42.330001831054688,Intermediate
238,TeamE,1,32.979999542236328,Expert
239,TeamC,4,86.239997863769531,Expert
240,TeamD,5,98.169998168945313,Beginner
241,TeamB,3,4.320000171661377,Beginner
242,TeamE,1,12.649999618530273,Intermediate
243,TeamE,3,53.560001373291016,Intermediate
244,TeamE,3,36.220001220703125,Expert
245,TeamA,1,27.600000381469727,Expert
246,TeamE,2,49.509998321533203,Intermediate
247,TeamE,4,97.80999755859375,Intermediate
248,TeamE,2,91,Expert
249,TeamB,4,49.180000305175781,Intermediate
250,TeamD,2,72.550003051757813,Expert
251,TeamD,4,25.200000762939453,Expert
252,TeamA,5,96.599998474121094,Expert
253,TeamE,4,2.380000114440918,Intermediate
